Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;21,001;21,001;0;0;2,664;1.006095;8.528529;0.000000;1,001;20,000;21,001;0;0;0;0;0;3.368643;0.000000;0.000000;21,129;22,720
1;0.01001557007510666;314;0;3.383102;21,001;21,001;0;0;2,664;1.006095;8.528529;3.383102;1,001;20,000;21,001;0;0;0;3.184961981421492e-05;3.200766358153149e-05;3.449244;0.000000;0.000000;21,129;22,720
2;0.02002230404126927;314;0;3.305161;21,001;21,001;0;0;2,664;1.006095;8.528529;6.767486;1,001;20,000;21,001;0;0;0;3.184051275723484e-05;3.189925226347463e-05;3.449244;0.000000;0.000000;21,129;22,720
3;0.03002482138035515;314;0;3.339392;21,001;21,001;0;0;2,736;1.006095;8.304094;10.185141;1,001;20,000;21,001;0;0;0;3.183914485517611e-05;3.187712884279213e-05;3.449244;0.000000;0.000000;21,129;22,720
4;0.04001558081124005;314;0;3.782647;21,001;21,001;0;0;2,736;1.006095;8.304094;14.046383;1,001;20,000;21,001;0;0;0;3.177502859734947e-05;3.184185784114288e-05;3.449244;0.000000;0.000000;21,129;22,720
5;0.05001562596873538;315;0;3.396547;21,001;21,001;0;0;2,736;1.006095;8.304094;17.521885;1,001;20,000;21,001;0;0;0;3.170272736121062e-05;0.0000317847279666247;3.449244;0.000000;0.000000;21,129;22,720
